r1	r2	sample	BC
CLL_05-599_S148_L007_R1_001.fastq.gz	CLL_05-599_S148_L007_R2_001.fastq.gz	CLL_05-599_S148_L007	OEXZZMPE
CLL_05-599_S14_L006_R1_001.fastq.gz	CLL_05-599_S14_L006_R2_001.fastq.gz	CLL_05-599_S14_L006	KOMAXCFR
CLL_05-599_S150_L001_R1_001.fastq.gz	CLL_05-599_S150_L001_R2_001.fastq.gz	CLL_05-599_S150_L001	GOTQSPGE
CLL_05-599_S151_L001_R1_001.fastq.gz	CLL_05-599_S151_L001_R2_001.fastq.gz	CLL_05-599_S151_L001	STRQVLJR
CLL_05-599_S151_L006_R1_001.fastq.gz	CLL_05-599_S151_L006_R2_001.fastq.gz	CLL_05-599_S151_L006	ZTTUFNPT
CLL_05-599_S152_L001_R1_001.fastq.gz	CLL_05-599_S152_L001_R2_001.fastq.gz	CLL_05-599_S152_L001	LJIOTEED
CLL_05-599_S153_L006_R1_001.fastq.gz	CLL_05-599_S153_L006_R2_001.fastq.gz	CLL_05-599_S153_L006	RJKDSPID
CLL_05-599_S154_L007_R1_001.fastq.gz	CLL_05-599_S154_L007_R2_001.fastq.gz	CLL_05-599_S154_L007	YPSTEHQE
CLL_05-599_S155_L001_R1_001.fastq.gz	CLL_05-599_S155_L001_R2_001.fastq.gz	CLL_05-599_S155_L001	KGKMCFJS
CLL_05-599_S156_L007_R1_001.fastq.gz	CLL_05-599_S156_L007_R2_001.fastq.gz	CLL_05-599_S156_L007	CAPCLPML
CLL_05-599_S157_L006_R1_001.fastq.gz	CLL_05-599_S157_L006_R2_001.fastq.gz	CLL_05-599_S157_L006	CIFJHNTC
CLL_05-599_S157_L007_R1_001.fastq.gz	CLL_05-599_S157_L007_R2_001.fastq.gz	CLL_05-599_S157_L007	WIBBWZLF
CLL_05-599_S160_L001_R1_001.fastq.gz	CLL_05-599_S160_L001_R2_001.fastq.gz	CLL_05-599_S160_L001	QHETNEUS
CLL_05-599_S160_L007_R1_001.fastq.gz	CLL_05-599_S160_L007_R2_001.fastq.gz	CLL_05-599_S160_L007	PIPKYTGU
CLL_05-599_S163_L006_R1_001.fastq.gz	CLL_05-599_S163_L006_R2_001.fastq.gz	CLL_05-599_S163_L006	FZHPWUST
CLL_05-599_S164_L007_R1_001.fastq.gz	CLL_05-599_S164_L007_R2_001.fastq.gz	CLL_05-599_S164_L007	SBVJHDWM
CLL_05-599_S165_L001_R1_001.fastq.gz	CLL_05-599_S165_L001_R2_001.fastq.gz	CLL_05-599_S165_L001	MFSVVQBR
CLL_05-599_S168_L001_R1_001.fastq.gz	CLL_05-599_S168_L001_R2_001.fastq.gz	CLL_05-599_S168_L001	MZJVQBAI
CLL_05-599_S168_L006_R1_001.fastq.gz	CLL_05-599_S168_L006_R2_001.fastq.gz	CLL_05-599_S168_L006	QAXRLMKZ
CLL_05-599_S168_L007_R1_001.fastq.gz	CLL_05-599_S168_L007_R2_001.fastq.gz	CLL_05-599_S168_L007	OMCCRRHJ
CLL_05-599_S16_L006_R1_001.fastq.gz	CLL_05-599_S16_L006_R2_001.fastq.gz	CLL_05-599_S16_L006	GGPZASKC
CLL_05-599_S172_L006_R1_001.fastq.gz	CLL_05-599_S172_L006_R2_001.fastq.gz	CLL_05-599_S172_L006	XPOWNREQ
CLL_05-599_S173_L006_R1_001.fastq.gz	CLL_05-599_S173_L006_R2_001.fastq.gz	CLL_05-599_S173_L006	QPBFMCER
CLL_05-599_S174_L007_R1_001.fastq.gz	CLL_05-599_S174_L007_R2_001.fastq.gz	CLL_05-599_S174_L007	WPKNGABJ
CLL_05-599_S175_L001_R1_001.fastq.gz	CLL_05-599_S175_L001_R2_001.fastq.gz	CLL_05-599_S175_L001	WHFCGWQR
CLL_05-599_S175_L006_R1_001.fastq.gz	CLL_05-599_S175_L006_R2_001.fastq.gz	CLL_05-599_S175_L006	YCYGAVJK
CLL_05-599_S176_L006_R1_001.fastq.gz	CLL_05-599_S176_L006_R2_001.fastq.gz	CLL_05-599_S176_L006	EWAKSHVX
CLL_05-599_S177_L007_R1_001.fastq.gz	CLL_05-599_S177_L007_R2_001.fastq.gz	CLL_05-599_S177_L007	LUYJMYTC
CLL_05-599_S17_L007_R1_001.fastq.gz	CLL_05-599_S17_L007_R2_001.fastq.gz	CLL_05-599_S17_L007	LFNRQJQS
CLL_05-599_S182_L001_R1_001.fastq.gz	CLL_05-599_S182_L001_R2_001.fastq.gz	CLL_05-599_S182_L001	EPGOYCMH
CLL_05-599_S183_L006_R1_001.fastq.gz	CLL_05-599_S183_L006_R2_001.fastq.gz	CLL_05-599_S183_L006	ZURBHONP
CLL_05-599_S185_L001_R1_001.fastq.gz	CLL_05-599_S185_L001_R2_001.fastq.gz	CLL_05-599_S185_L001	CCDXVZRC
CLL_05-599_S187_L001_R1_001.fastq.gz	CLL_05-599_S187_L001_R2_001.fastq.gz	CLL_05-599_S187_L001	IWHTIGCR
CLL_05-599_S18_L001_R1_001.fastq.gz	CLL_05-599_S18_L001_R2_001.fastq.gz	CLL_05-599_S18_L001	VVSJRLTD
CLL_05-599_S18_L007_R1_001.fastq.gz	CLL_05-599_S18_L007_R2_001.fastq.gz	CLL_05-599_S18_L007	ZJOXNHEQ
CLL_05-599_S191_L006_R1_001.fastq.gz	CLL_05-599_S191_L006_R2_001.fastq.gz	CLL_05-599_S191_L006	ZMHYXQAK
CLL_05-599_S192_L007_R1_001.fastq.gz	CLL_05-599_S192_L007_R2_001.fastq.gz	CLL_05-599_S192_L007	KRNYESJL
CLL_05-599_S193_L001_R1_001.fastq.gz	CLL_05-599_S193_L001_R2_001.fastq.gz	CLL_05-599_S193_L001	VJGGZHXG
CLL_05-599_S194_L001_R1_001.fastq.gz	CLL_05-599_S194_L001_R2_001.fastq.gz	CLL_05-599_S194_L001	GALNIDFX
CLL_05-599_S194_L007_R1_001.fastq.gz	CLL_05-599_S194_L007_R2_001.fastq.gz	CLL_05-599_S194_L007	LTOGCTGQ
CLL_05-599_S195_L006_R1_001.fastq.gz	CLL_05-599_S195_L006_R2_001.fastq.gz	CLL_05-599_S195_L006	BZKFMEYW
CLL_05-599_S195_L007_R1_001.fastq.gz	CLL_05-599_S195_L007_R2_001.fastq.gz	CLL_05-599_S195_L007	IBXDWOCR
CLL_05-599_S197_L006_R1_001.fastq.gz	CLL_05-599_S197_L006_R2_001.fastq.gz	CLL_05-599_S197_L006	PXCARRPE
CLL_05-599_S197_L007_R1_001.fastq.gz	CLL_05-599_S197_L007_R2_001.fastq.gz	CLL_05-599_S197_L007	UZJXHOPC
CLL_05-599_S1_L001_R1_001.fastq.gz	CLL_05-599_S1_L001_R2_001.fastq.gz	CLL_05-599_S1_L001	LVAVNXTB
CLL_05-599_S208_L006_R1_001.fastq.gz	CLL_05-599_S208_L006_R2_001.fastq.gz	CLL_05-599_S208_L006	STUKTLTY
CLL_05-599_S209_L001_R1_001.fastq.gz	CLL_05-599_S209_L001_R2_001.fastq.gz	CLL_05-599_S209_L001	APYONLRT
CLL_05-599_S211_L001_R1_001.fastq.gz	CLL_05-599_S211_L001_R2_001.fastq.gz	CLL_05-599_S211_L001	WJQYRIRO
CLL_05-599_S211_L007_R1_001.fastq.gz	CLL_05-599_S211_L007_R2_001.fastq.gz	CLL_05-599_S211_L007	QMJNFCOJ
CLL_05-599_S212_L007_R1_001.fastq.gz	CLL_05-599_S212_L007_R2_001.fastq.gz	CLL_05-599_S212_L007	LQELRLJJ
CLL_05-599_S213_L001_R1_001.fastq.gz	CLL_05-599_S213_L001_R2_001.fastq.gz	CLL_05-599_S213_L001	EJUQOGJA
CLL_05-599_S213_L007_R1_001.fastq.gz	CLL_05-599_S213_L007_R2_001.fastq.gz	CLL_05-599_S213_L007	YMGRXTLY
CLL_05-599_S214_L006_R1_001.fastq.gz	CLL_05-599_S214_L006_R2_001.fastq.gz	CLL_05-599_S214_L006	FFUERVCP
