r1	r2	sample	BC
CLL_05-599_S326_L001_R1_001.fastq.gz	CLL_05-599_S326_L001_R2_001.fastq.gz	CLL_05-599_S326_L001	KVIVYUPF
CLL_05-599_S327_L006_R1_001.fastq.gz	CLL_05-599_S327_L006_R2_001.fastq.gz	CLL_05-599_S327_L006	YUGBXIIJ
CLL_05-599_S329_L001_R1_001.fastq.gz	CLL_05-599_S329_L001_R2_001.fastq.gz	CLL_05-599_S329_L001	SUYJQJCO
CLL_05-599_S332_L006_R1_001.fastq.gz	CLL_05-599_S332_L006_R2_001.fastq.gz	CLL_05-599_S332_L006	HAXOHOHN
CLL_05-599_S333_L007_R1_001.fastq.gz	CLL_05-599_S333_L007_R2_001.fastq.gz	CLL_05-599_S333_L007	IHTQZGEY
CLL_05-599_S339_L001_R1_001.fastq.gz	CLL_05-599_S339_L001_R2_001.fastq.gz	CLL_05-599_S339_L001	PPRGHWEU
CLL_05-599_S33_L006_R1_001.fastq.gz	CLL_05-599_S33_L006_R2_001.fastq.gz	CLL_05-599_S33_L006	VWAAOGUL
CLL_05-599_S33_L007_R1_001.fastq.gz	CLL_05-599_S33_L007_R2_001.fastq.gz	CLL_05-599_S33_L007	CRPYGFDT
CLL_05-599_S340_L007_R1_001.fastq.gz	CLL_05-599_S340_L007_R2_001.fastq.gz	CLL_05-599_S340_L007	KUIFYZBE
CLL_05-599_S341_L001_R1_001.fastq.gz	CLL_05-599_S341_L001_R2_001.fastq.gz	CLL_05-599_S341_L001	HNOEFJNF
CLL_05-599_S342_L001_R1_001.fastq.gz	CLL_05-599_S342_L001_R2_001.fastq.gz	CLL_05-599_S342_L001	RZZAWBRQ
CLL_05-599_S343_L006_R1_001.fastq.gz	CLL_05-599_S343_L006_R2_001.fastq.gz	CLL_05-599_S343_L006	CORCVIQY
CLL_05-599_S343_L007_R1_001.fastq.gz	CLL_05-599_S343_L007_R2_001.fastq.gz	CLL_05-599_S343_L007	GPAZNPRG
CLL_05-599_S344_L006_R1_001.fastq.gz	CLL_05-599_S344_L006_R2_001.fastq.gz	CLL_05-599_S344_L006	MTNOJFRW
CLL_05-599_S347_L007_R1_001.fastq.gz	CLL_05-599_S347_L007_R2_001.fastq.gz	CLL_05-599_S347_L007	KETTPTFN
CLL_05-599_S348_L006_R1_001.fastq.gz	CLL_05-599_S348_L006_R2_001.fastq.gz	CLL_05-599_S348_L006	DTHOPDLE
CLL_05-599_S350_L001_R1_001.fastq.gz	CLL_05-599_S350_L001_R2_001.fastq.gz	CLL_05-599_S350_L001	IBVDHJIK
CLL_05-599_S350_L006_R1_001.fastq.gz	CLL_05-599_S350_L006_R2_001.fastq.gz	CLL_05-599_S350_L006	XDPAKRGL
CLL_05-599_S352_L006_R1_001.fastq.gz	CLL_05-599_S352_L006_R2_001.fastq.gz	CLL_05-599_S352_L006	XIQOPBIT
CLL_05-599_S352_L007_R1_001.fastq.gz	CLL_05-599_S352_L007_R2_001.fastq.gz	CLL_05-599_S352_L007	KJFOVQCR
CLL_05-599_S356_L001_R1_001.fastq.gz	CLL_05-599_S356_L001_R2_001.fastq.gz	CLL_05-599_S356_L001	NQUPSFIO
CLL_05-599_S356_L006_R1_001.fastq.gz	CLL_05-599_S356_L006_R2_001.fastq.gz	CLL_05-599_S356_L006	BFKNYMPC
CLL_05-599_S357_L001_R1_001.fastq.gz	CLL_05-599_S357_L001_R2_001.fastq.gz	CLL_05-599_S357_L001	OJTESQRX
CLL_05-599_S358_L007_R1_001.fastq.gz	CLL_05-599_S358_L007_R2_001.fastq.gz	CLL_05-599_S358_L007	HTUUCMGG
CLL_05-599_S359_L006_R1_001.fastq.gz	CLL_05-599_S359_L006_R2_001.fastq.gz	CLL_05-599_S359_L006	UBATAGJC
CLL_05-599_S35_L007_R1_001.fastq.gz	CLL_05-599_S35_L007_R2_001.fastq.gz	CLL_05-599_S35_L007	LVSKUZQB
CLL_05-599_S364_L001_R1_001.fastq.gz	CLL_05-599_S364_L001_R2_001.fastq.gz	CLL_05-599_S364_L001	BXKFISTR
CLL_05-599_S364_L007_R1_001.fastq.gz	CLL_05-599_S364_L007_R2_001.fastq.gz	CLL_05-599_S364_L007	UGCFWDSP
CLL_05-599_S365_L007_R1_001.fastq.gz	CLL_05-599_S365_L007_R2_001.fastq.gz	CLL_05-599_S365_L007	MCWYCSQH
CLL_05-599_S367_L001_R1_001.fastq.gz	CLL_05-599_S367_L001_R2_001.fastq.gz	CLL_05-599_S367_L001	URFCVQUD
CLL_05-599_S367_L007_R1_001.fastq.gz	CLL_05-599_S367_L007_R2_001.fastq.gz	CLL_05-599_S367_L007	XOBMZUTA
CLL_05-599_S369_L007_R1_001.fastq.gz	CLL_05-599_S369_L007_R2_001.fastq.gz	CLL_05-599_S369_L007	TWYLSCJN
CLL_05-599_S371_L001_R1_001.fastq.gz	CLL_05-599_S371_L001_R2_001.fastq.gz	CLL_05-599_S371_L001	BLDCALJN
CLL_05-599_S372_L001_R1_001.fastq.gz	CLL_05-599_S372_L001_R2_001.fastq.gz	CLL_05-599_S372_L001	XZUXMHIB
CLL_05-599_S375_L007_R1_001.fastq.gz	CLL_05-599_S375_L007_R2_001.fastq.gz	CLL_05-599_S375_L007	ZENFQREM
CLL_05-599_S376_L006_R1_001.fastq.gz	CLL_05-599_S376_L006_R2_001.fastq.gz	CLL_05-599_S376_L006	XIVBRDGS
CLL_05-599_S377_L006_R1_001.fastq.gz	CLL_05-599_S377_L006_R2_001.fastq.gz	CLL_05-599_S377_L006	FBXHTPRM
CLL_05-599_S378_L001_R1_001.fastq.gz	CLL_05-599_S378_L001_R2_001.fastq.gz	CLL_05-599_S378_L001	YOQFOTXJ
CLL_05-599_S378_L006_R1_001.fastq.gz	CLL_05-599_S378_L006_R2_001.fastq.gz	CLL_05-599_S378_L006	EIWLZSIV
CLL_05-599_S379_L001_R1_001.fastq.gz	CLL_05-599_S379_L001_R2_001.fastq.gz	CLL_05-599_S379_L001	NIIVCTEH
CLL_05-599_S379_L007_R1_001.fastq.gz	CLL_05-599_S379_L007_R2_001.fastq.gz	CLL_05-599_S379_L007	NLWUEPIL
CLL_05-599_S381_L001_R1_001.fastq.gz	CLL_05-599_S381_L001_R2_001.fastq.gz	CLL_05-599_S381_L001	QEFHBIGY
CLL_05-599_S38_L007_R1_001.fastq.gz	CLL_05-599_S38_L007_R2_001.fastq.gz	CLL_05-599_S38_L007	YFLWGJLY
CLL_05-599_S39_L006_R1_001.fastq.gz	CLL_05-599_S39_L006_R2_001.fastq.gz	CLL_05-599_S39_L006	CWXPBSPY
CLL_05-599_S3_L006_R1_001.fastq.gz	CLL_05-599_S3_L006_R2_001.fastq.gz	CLL_05-599_S3_L006	GJAKOAHS
CLL_05-599_S3_L007_R1_001.fastq.gz	CLL_05-599_S3_L007_R2_001.fastq.gz	CLL_05-599_S3_L007	YIBXPCBY
CLL_05-599_S41_L001_R1_001.fastq.gz	CLL_05-599_S41_L001_R2_001.fastq.gz	CLL_05-599_S41_L001	OHGJWZKC
CLL_05-599_S41_L007_R1_001.fastq.gz	CLL_05-599_S41_L007_R2_001.fastq.gz	CLL_05-599_S41_L007	TJIOTIUK
CLL_05-599_S43_L001_R1_001.fastq.gz	CLL_05-599_S43_L001_R2_001.fastq.gz	CLL_05-599_S43_L001	LNRMPCQX
CLL_05-599_S44_L001_R1_001.fastq.gz	CLL_05-599_S44_L001_R2_001.fastq.gz	CLL_05-599_S44_L001	NAYNMDFA
CLL_05-599_S44_L006_R1_001.fastq.gz	CLL_05-599_S44_L006_R2_001.fastq.gz	CLL_05-599_S44_L006	PYTXBAMY
CLL_05-599_S44_L007_R1_001.fastq.gz	CLL_05-599_S44_L007_R2_001.fastq.gz	CLL_05-599_S44_L007	KIORQTWN
CLL_05-599_S45_L006_R1_001.fastq.gz	CLL_05-599_S45_L006_R2_001.fastq.gz	CLL_05-599_S45_L006	BJAKYAVM
CLL_05-599_S47_L001_R1_001.fastq.gz	CLL_05-599_S47_L001_R2_001.fastq.gz	CLL_05-599_S47_L001	ALRIZINB
CLL_05-599_S48_L001_R1_001.fastq.gz	CLL_05-599_S48_L001_R2_001.fastq.gz	CLL_05-599_S48_L001	RPHVPSII
CLL_05-599_S51_L001_R1_001.fastq.gz	CLL_05-599_S51_L001_R2_001.fastq.gz	CLL_05-599_S51_L001	XXPDPQIY
CLL_05-599_S52_L001_R1_001.fastq.gz	CLL_05-599_S52_L001_R2_001.fastq.gz	CLL_05-599_S52_L001	CPZVHVFZ
CLL_05-599_S53_L007_R1_001.fastq.gz	CLL_05-599_S53_L007_R2_001.fastq.gz	CLL_05-599_S53_L007	VWWSMYGN
CLL_05-599_S55_L001_R1_001.fastq.gz	CLL_05-599_S55_L001_R2_001.fastq.gz	CLL_05-599_S55_L001	AERQJETK
CLL_05-599_S55_L006_R1_001.fastq.gz	CLL_05-599_S55_L006_R2_001.fastq.gz	CLL_05-599_S55_L006	RRVFYWWO
CLL_05-599_S56_L001_R1_001.fastq.gz	CLL_05-599_S56_L001_R2_001.fastq.gz	CLL_05-599_S56_L001	ERFDWLFQ
CLL_05-599_S56_L006_R1_001.fastq.gz	CLL_05-599_S56_L006_R2_001.fastq.gz	CLL_05-599_S56_L006	CLLYNBRF
CLL_05-599_S56_L007_R1_001.fastq.gz	CLL_05-599_S56_L007_R2_001.fastq.gz	CLL_05-599_S56_L007	OOXIOCMU
CLL_05-599_S57_L001_R1_001.fastq.gz	CLL_05-599_S57_L001_R2_001.fastq.gz	CLL_05-599_S57_L001	OYWPGANJ
CLL_05-599_S58_L006_R1_001.fastq.gz	CLL_05-599_S58_L006_R2_001.fastq.gz	CLL_05-599_S58_L006	KSDFXKKM
CLL_05-599_S59_L006_R1_001.fastq.gz	CLL_05-599_S59_L006_R2_001.fastq.gz	CLL_05-599_S59_L006	SBJEGUZB
CLL_05-599_S62_L007_R1_001.fastq.gz	CLL_05-599_S62_L007_R2_001.fastq.gz	CLL_05-599_S62_L007	IJZQQJCT
CLL_05-599_S66_L001_R1_001.fastq.gz	CLL_05-599_S66_L001_R2_001.fastq.gz	CLL_05-599_S66_L001	GSWPCJAH
CLL_05-599_S67_L001_R1_001.fastq.gz	CLL_05-599_S67_L001_R2_001.fastq.gz	CLL_05-599_S67_L001	JBKWGDUX
CLL_05-599_S67_L007_R1_001.fastq.gz	CLL_05-599_S67_L007_R2_001.fastq.gz	CLL_05-599_S67_L007	BROZGYEU
CLL_05-599_S6_L006_R1_001.fastq.gz	CLL_05-599_S6_L006_R2_001.fastq.gz	CLL_05-599_S6_L006	FTFXHVJL
CLL_05-599_S6_L007_R1_001.fastq.gz	CLL_05-599_S6_L007_R2_001.fastq.gz	CLL_05-599_S6_L007	SGHDOJSH
CLL_05-599_S72_L001_R1_001.fastq.gz	CLL_05-599_S72_L001_R2_001.fastq.gz	CLL_05-599_S72_L001	LUHKAOTY
CLL_05-599_S73_L006_R1_001.fastq.gz	CLL_05-599_S73_L006_R2_001.fastq.gz	CLL_05-599_S73_L006	CZINCTCZ
CLL_05-599_S7_L006_R1_001.fastq.gz	CLL_05-599_S7_L006_R2_001.fastq.gz	CLL_05-599_S7_L006	WHCVRQSB
CLL_05-599_S81_L001_R1_001.fastq.gz	CLL_05-599_S81_L001_R2_001.fastq.gz	CLL_05-599_S81_L001	ETPTXSLR
CLL_05-599_S82_L001_R1_001.fastq.gz	CLL_05-599_S82_L001_R2_001.fastq.gz	CLL_05-599_S82_L001	DBESOTJP
CLL_05-599_S83_L007_R1_001.fastq.gz	CLL_05-599_S83_L007_R2_001.fastq.gz	CLL_05-599_S83_L007	UVRYKLDT
CLL_05-599_S84_L001_R1_001.fastq.gz	CLL_05-599_S84_L001_R2_001.fastq.gz	CLL_05-599_S84_L001	EMMFGWLT
CLL_05-599_S84_L006_R1_001.fastq.gz	CLL_05-599_S84_L006_R2_001.fastq.gz	CLL_05-599_S84_L006	BBLJXEJW
CLL_05-599_S85_L006_R1_001.fastq.gz	CLL_05-599_S85_L006_R2_001.fastq.gz	CLL_05-599_S85_L006	DAAGHTLY
CLL_05-599_S89_L001_R1_001.fastq.gz	CLL_05-599_S89_L001_R2_001.fastq.gz	CLL_05-599_S89_L001	KVCVDFNE
CLL_05-599_S8_L007_R1_001.fastq.gz	CLL_05-599_S8_L007_R2_001.fastq.gz	CLL_05-599_S8_L007	YNUDSIEJ
CLL_05-599_S90_L007_R1_001.fastq.gz	CLL_05-599_S90_L007_R2_001.fastq.gz	CLL_05-599_S90_L007	CZCPSKPH
CLL_05-599_S91_L001_R1_001.fastq.gz	CLL_05-599_S91_L001_R2_001.fastq.gz	CLL_05-599_S91_L001	WKUIHRPW
CLL_05-599_S91_L007_R1_001.fastq.gz	CLL_05-599_S91_L007_R2_001.fastq.gz	CLL_05-599_S91_L007	TKTKOIPA
CLL_05-599_S93_L006_R1_001.fastq.gz	CLL_05-599_S93_L006_R2_001.fastq.gz	CLL_05-599_S93_L006	XPURFWEB
CLL_05-599_S95_L007_R1_001.fastq.gz	CLL_05-599_S95_L007_R2_001.fastq.gz	CLL_05-599_S95_L007	PPENKNNL
CLL_05-599_S97_L001_R1_001.fastq.gz	CLL_05-599_S97_L001_R2_001.fastq.gz	CLL_05-599_S97_L001	UIOCDIOC
CLL_05-599_S98_L001_R1_001.fastq.gz	CLL_05-599_S98_L001_R2_001.fastq.gz	CLL_05-599_S98_L001	EWIZWNCM
CLL_05-76_S100_L007_R1_001.fastq.gz	CLL_05-76_S100_L007_R2_001.fastq.gz	CLL_05-76_S100_L007	XRLDNJUL
CLL_05-76_S101_L007_R1_001.fastq.gz	CLL_05-76_S101_L007_R2_001.fastq.gz	CLL_05-76_S101_L007	JXLBVWGX
CLL_05-76_S103_L006_R1_001.fastq.gz	CLL_05-76_S103_L006_R2_001.fastq.gz	CLL_05-76_S103_L006	IVMHHRZY
CLL_05-76_S104_L007_R1_001.fastq.gz	CLL_05-76_S104_L007_R2_001.fastq.gz	CLL_05-76_S104_L007	SAEFXXYE
CLL_05-76_S109_L001_R1_001.fastq.gz	CLL_05-76_S109_L001_R2_001.fastq.gz	CLL_05-76_S109_L001	QKJRLHNM
CLL_05-76_S109_L006_R1_001.fastq.gz	CLL_05-76_S109_L006_R2_001.fastq.gz	CLL_05-76_S109_L006	WTPNUJKZ
CLL_05-76_S112_L007_R1_001.fastq.gz	CLL_05-76_S112_L007_R2_001.fastq.gz	CLL_05-76_S112_L007	VEBEQPAU
CLL_05-76_S116_L007_R1_001.fastq.gz	CLL_05-76_S116_L007_R2_001.fastq.gz	CLL_05-76_S116_L007	ISHYFHEW
CLL_05-76_S117_L007_R1_001.fastq.gz	CLL_05-76_S117_L007_R2_001.fastq.gz	CLL_05-76_S117_L007	KAAQGQPV
CLL_05-76_S118_L001_R1_001.fastq.gz	CLL_05-76_S118_L001_R2_001.fastq.gz	CLL_05-76_S118_L001	UKOBXDJR
CLL_05-76_S119_L006_R1_001.fastq.gz	CLL_05-76_S119_L006_R2_001.fastq.gz	CLL_05-76_S119_L006	ROQLONCR
CLL_05-76_S11_L006_R1_001.fastq.gz	CLL_05-76_S11_L006_R2_001.fastq.gz	CLL_05-76_S11_L006	IOSOPURK
CLL_05-76_S11_L007_R1_001.fastq.gz	CLL_05-76_S11_L007_R2_001.fastq.gz	CLL_05-76_S11_L007	HXNGIUGU
CLL_05-76_S120_L001_R1_001.fastq.gz	CLL_05-76_S120_L001_R2_001.fastq.gz	CLL_05-76_S120_L001	CMTCJSWS
CLL_05-76_S120_L006_R1_001.fastq.gz	CLL_05-76_S120_L006_R2_001.fastq.gz	CLL_05-76_S120_L006	BHUTWQJO
CLL_05-76_S121_L007_R1_001.fastq.gz	CLL_05-76_S121_L007_R2_001.fastq.gz	CLL_05-76_S121_L007	REXNDQYV
CLL_05-76_S122_L001_R1_001.fastq.gz	CLL_05-76_S122_L001_R2_001.fastq.gz	CLL_05-76_S122_L001	YWSQFXXJ
CLL_05-76_S122_L007_R1_001.fastq.gz	CLL_05-76_S122_L007_R2_001.fastq.gz	CLL_05-76_S122_L007	PKVWMAMO
CLL_05-76_S123_L001_R1_001.fastq.gz	CLL_05-76_S123_L001_R2_001.fastq.gz	CLL_05-76_S123_L001	MTPCVQMD
CLL_05-76_S124_L007_R1_001.fastq.gz	CLL_05-76_S124_L007_R2_001.fastq.gz	CLL_05-76_S124_L007	GMHPQHHK
CLL_05-76_S125_L006_R1_001.fastq.gz	CLL_05-76_S125_L006_R2_001.fastq.gz	CLL_05-76_S125_L006	UPQGXNVX
CLL_05-76_S126_L006_R1_001.fastq.gz	CLL_05-76_S126_L006_R2_001.fastq.gz	CLL_05-76_S126_L006	FXEADEOX
CLL_05-76_S129_L001_R1_001.fastq.gz	CLL_05-76_S129_L001_R2_001.fastq.gz	CLL_05-76_S129_L001	ZTIIDEDI
CLL_05-76_S12_L007_R1_001.fastq.gz	CLL_05-76_S12_L007_R2_001.fastq.gz	CLL_05-76_S12_L007	SMTORCNG
CLL_05-76_S130_L001_R1_001.fastq.gz	CLL_05-76_S130_L001_R2_001.fastq.gz	CLL_05-76_S130_L001	JWIPOIAA
CLL_05-76_S131_L001_R1_001.fastq.gz	CLL_05-76_S131_L001_R2_001.fastq.gz	CLL_05-76_S131_L001	ZAYPKGXX
CLL_05-76_S131_L006_R1_001.fastq.gz	CLL_05-76_S131_L006_R2_001.fastq.gz	CLL_05-76_S131_L006	IRTRWRAQ
CLL_05-76_S131_L007_R1_001.fastq.gz	CLL_05-76_S131_L007_R2_001.fastq.gz	CLL_05-76_S131_L007	EWSOUWGH
CLL_05-76_S132_L001_R1_001.fastq.gz	CLL_05-76_S132_L001_R2_001.fastq.gz	CLL_05-76_S132_L001	ORJFWTTC
CLL_05-76_S133_L001_R1_001.fastq.gz	CLL_05-76_S133_L001_R2_001.fastq.gz	CLL_05-76_S133_L001	YUXHQMXV
CLL_05-76_S135_L001_R1_001.fastq.gz	CLL_05-76_S135_L001_R2_001.fastq.gz	CLL_05-76_S135_L001	HLDYLENB
CLL_05-76_S138_L006_R1_001.fastq.gz	CLL_05-76_S138_L006_R2_001.fastq.gz	CLL_05-76_S138_L006	YOEVUDPV
CLL_05-76_S138_L007_R1_001.fastq.gz	CLL_05-76_S138_L007_R2_001.fastq.gz	CLL_05-76_S138_L007	ERSLDIRG
CLL_05-76_S139_L001_R1_001.fastq.gz	CLL_05-76_S139_L001_R2_001.fastq.gz	CLL_05-76_S139_L001	ZKADXJOI
CLL_05-76_S140_L006_R1_001.fastq.gz	CLL_05-76_S140_L006_R2_001.fastq.gz	CLL_05-76_S140_L006	NDOGPKYD
CLL_05-76_S140_L007_R1_001.fastq.gz	CLL_05-76_S140_L007_R2_001.fastq.gz	CLL_05-76_S140_L007	WJMANOYE
CLL_05-76_S142_L001_R1_001.fastq.gz	CLL_05-76_S142_L001_R2_001.fastq.gz	CLL_05-76_S142_L001	VRNNMPCR
CLL_05-76_S142_L006_R1_001.fastq.gz	CLL_05-76_S142_L006_R2_001.fastq.gz	CLL_05-76_S142_L006	NSRSEDGY
CLL_05-76_S144_L001_R1_001.fastq.gz	CLL_05-76_S144_L001_R2_001.fastq.gz	CLL_05-76_S144_L001	ZYXSHDOD
CLL_05-76_S147_L001_R1_001.fastq.gz	CLL_05-76_S147_L001_R2_001.fastq.gz	CLL_05-76_S147_L001	IZRTANXY
CLL_05-76_S149_L001_R1_001.fastq.gz	CLL_05-76_S149_L001_R2_001.fastq.gz	CLL_05-76_S149_L001	BMCVXILN
CLL_05-76_S150_L006_R1_001.fastq.gz	CLL_05-76_S150_L006_R2_001.fastq.gz	CLL_05-76_S150_L006	ZMLXCNSI
CLL_05-76_S152_L007_R1_001.fastq.gz	CLL_05-76_S152_L007_R2_001.fastq.gz	CLL_05-76_S152_L007	QVYWIJXQ
CLL_05-76_S153_L001_R1_001.fastq.gz	CLL_05-76_S153_L001_R2_001.fastq.gz	CLL_05-76_S153_L001	LFEHRQLN
CLL_05-76_S153_L007_R1_001.fastq.gz	CLL_05-76_S153_L007_R2_001.fastq.gz	CLL_05-76_S153_L007	VOXIPZWQ
CLL_05-76_S156_L001_R1_001.fastq.gz	CLL_05-76_S156_L001_R2_001.fastq.gz	CLL_05-76_S156_L001	ACZKUGRM
CLL_05-76_S158_L006_R1_001.fastq.gz	CLL_05-76_S158_L006_R2_001.fastq.gz	CLL_05-76_S158_L006	PLHVPDVU
CLL_05-76_S159_L006_R1_001.fastq.gz	CLL_05-76_S159_L006_R2_001.fastq.gz	CLL_05-76_S159_L006	QFPVMSDY
CLL_05-76_S162_L006_R1_001.fastq.gz	CLL_05-76_S162_L006_R2_001.fastq.gz	CLL_05-76_S162_L006	XELCHUFQ
CLL_05-76_S162_L007_R1_001.fastq.gz	CLL_05-76_S162_L007_R2_001.fastq.gz	CLL_05-76_S162_L007	NNSUKMKW
CLL_05-76_S164_L001_R1_001.fastq.gz	CLL_05-76_S164_L001_R2_001.fastq.gz	CLL_05-76_S164_L001	MDEAOZZD
CLL_05-76_S164_L006_R1_001.fastq.gz	CLL_05-76_S164_L006_R2_001.fastq.gz	CLL_05-76_S164_L006	TBTQUPGW
CLL_05-76_S165_L007_R1_001.fastq.gz	CLL_05-76_S165_L007_R2_001.fastq.gz	CLL_05-76_S165_L007	MFJRGXVQ
CLL_05-76_S167_L001_R1_001.fastq.gz	CLL_05-76_S167_L001_R2_001.fastq.gz	CLL_05-76_S167_L001	GMKWEDDP
CLL_05-76_S167_L007_R1_001.fastq.gz	CLL_05-76_S167_L007_R2_001.fastq.gz	CLL_05-76_S167_L007	KBDKDFLQ
CLL_05-76_S16_L001_R1_001.fastq.gz	CLL_05-76_S16_L001_R2_001.fastq.gz	CLL_05-76_S16_L001	QYSNZCVO
CLL_05-76_S170_L007_R1_001.fastq.gz	CLL_05-76_S170_L007_R2_001.fastq.gz	CLL_05-76_S170_L007	XQKTWNGC
CLL_05-76_S171_L001_R1_001.fastq.gz	CLL_05-76_S171_L001_R2_001.fastq.gz	CLL_05-76_S171_L001	RSVFICSD
CLL_05-76_S173_L001_R1_001.fastq.gz	CLL_05-76_S173_L001_R2_001.fastq.gz	CLL_05-76_S173_L001	TBHKBHCE
CLL_05-76_S173_L007_R1_001.fastq.gz	CLL_05-76_S173_L007_R2_001.fastq.gz	CLL_05-76_S173_L007	BRDMXYCE
CLL_05-76_S174_L001_R1_001.fastq.gz	CLL_05-76_S174_L001_R2_001.fastq.gz	CLL_05-76_S174_L001	BAAWZXEY
CLL_05-76_S177_L006_R1_001.fastq.gz	CLL_05-76_S177_L006_R2_001.fastq.gz	CLL_05-76_S177_L006	BRCOCUGZ
CLL_05-76_S178_L006_R1_001.fastq.gz	CLL_05-76_S178_L006_R2_001.fastq.gz	CLL_05-76_S178_L006	SLAHJJON
CLL_05-76_S17_L006_R1_001.fastq.gz	CLL_05-76_S17_L006_R2_001.fastq.gz	CLL_05-76_S17_L006	TAGEDADX
CLL_05-76_S180_L001_R1_001.fastq.gz	CLL_05-76_S180_L001_R2_001.fastq.gz	CLL_05-76_S180_L001	CUGSDVOO
CLL_05-76_S181_L006_R1_001.fastq.gz	CLL_05-76_S181_L006_R2_001.fastq.gz	CLL_05-76_S181_L006	DNVACTBM
CLL_05-76_S182_L007_R1_001.fastq.gz	CLL_05-76_S182_L007_R2_001.fastq.gz	CLL_05-76_S182_L007	WSFTTVCJ
CLL_05-76_S183_L001_R1_001.fastq.gz	CLL_05-76_S183_L001_R2_001.fastq.gz	CLL_05-76_S183_L001	CBYVQUAF
CLL_05-76_S183_L007_R1_001.fastq.gz	CLL_05-76_S183_L007_R2_001.fastq.gz	CLL_05-76_S183_L007	MRTZFOJY
CLL_05-76_S184_L007_R1_001.fastq.gz	CLL_05-76_S184_L007_R2_001.fastq.gz	CLL_05-76_S184_L007	VFGUFXOY
CLL_05-76_S186_L007_R1_001.fastq.gz	CLL_05-76_S186_L007_R2_001.fastq.gz	CLL_05-76_S186_L007	CKKYVIML
CLL_05-76_S187_L006_R1_001.fastq.gz	CLL_05-76_S187_L006_R2_001.fastq.gz	CLL_05-76_S187_L006	RJDKYNZT
CLL_05-76_S188_L006_R1_001.fastq.gz	CLL_05-76_S188_L006_R2_001.fastq.gz	CLL_05-76_S188_L006	GLBFYPUU
CLL_05-76_S188_L007_R1_001.fastq.gz	CLL_05-76_S188_L007_R2_001.fastq.gz	CLL_05-76_S188_L007	OVJIKYCI
CLL_05-76_S189_L001_R1_001.fastq.gz	CLL_05-76_S189_L001_R2_001.fastq.gz	CLL_05-76_S189_L001	HKTZYEON
CLL_05-76_S190_L001_R1_001.fastq.gz	CLL_05-76_S190_L001_R2_001.fastq.gz	CLL_05-76_S190_L001	XTAPCQZS
CLL_05-76_S190_L007_R1_001.fastq.gz	CLL_05-76_S190_L007_R2_001.fastq.gz	CLL_05-76_S190_L007	TCATJNKP
CLL_05-76_S191_L007_R1_001.fastq.gz	CLL_05-76_S191_L007_R2_001.fastq.gz	CLL_05-76_S191_L007	CLBMOILO
CLL_05-76_S192_L006_R1_001.fastq.gz	CLL_05-76_S192_L006_R2_001.fastq.gz	CLL_05-76_S192_L006	UJTIDOLB
CLL_05-76_S193_L006_R1_001.fastq.gz	CLL_05-76_S193_L006_R2_001.fastq.gz	CLL_05-76_S193_L006	SSKPJGKB
CLL_05-76_S196_L006_R1_001.fastq.gz	CLL_05-76_S196_L006_R2_001.fastq.gz	CLL_05-76_S196_L006	GGIHHKWL
CLL_05-76_S196_L007_R1_001.fastq.gz	CLL_05-76_S196_L007_R2_001.fastq.gz	CLL_05-76_S196_L007	NPBDLVAP
CLL_05-76_S197_L001_R1_001.fastq.gz	CLL_05-76_S197_L001_R2_001.fastq.gz	CLL_05-76_S197_L001	DSWGLKOI
CLL_05-76_S199_L006_R1_001.fastq.gz	CLL_05-76_S199_L006_R2_001.fastq.gz	CLL_05-76_S199_L006	YFTBYKRC
CLL_05-76_S19_L006_R1_001.fastq.gz	CLL_05-76_S19_L006_R2_001.fastq.gz	CLL_05-76_S19_L006	BNRTPEAN
CLL_05-76_S19_L007_R1_001.fastq.gz	CLL_05-76_S19_L007_R2_001.fastq.gz	CLL_05-76_S19_L007	TJWBEQPC
CLL_05-76_S1_L007_R1_001.fastq.gz	CLL_05-76_S1_L007_R2_001.fastq.gz	CLL_05-76_S1_L007	ZCJWVWCJ
CLL_05-76_S200_L001_R1_001.fastq.gz	CLL_05-76_S200_L001_R2_001.fastq.gz	CLL_05-76_S200_L001	ZXMLMSHN
CLL_05-76_S201_L006_R1_001.fastq.gz	CLL_05-76_S201_L006_R2_001.fastq.gz	CLL_05-76_S201_L006	WKXHBCKC
CLL_05-76_S201_L007_R1_001.fastq.gz	CLL_05-76_S201_L007_R2_001.fastq.gz	CLL_05-76_S201_L007	QETGXEDA
CLL_05-76_S202_L007_R1_001.fastq.gz	CLL_05-76_S202_L007_R2_001.fastq.gz	CLL_05-76_S202_L007	GWKEDEZY
CLL_05-76_S207_L006_R1_001.fastq.gz	CLL_05-76_S207_L006_R2_001.fastq.gz	CLL_05-76_S207_L006	KSXCKYLX
CLL_05-76_S208_L001_R1_001.fastq.gz	CLL_05-76_S208_L001_R2_001.fastq.gz	CLL_05-76_S208_L001	ICIJUREY
CLL_05-76_S211_L006_R1_001.fastq.gz	CLL_05-76_S211_L006_R2_001.fastq.gz	CLL_05-76_S211_L006	HCYOHYCN
CLL_05-76_S214_L001_R1_001.fastq.gz	CLL_05-76_S214_L001_R2_001.fastq.gz	CLL_05-76_S214_L001	FWATOLWI
CLL_05-76_S218_L006_R1_001.fastq.gz	CLL_05-76_S218_L006_R2_001.fastq.gz	CLL_05-76_S218_L006	WWYNHJYI
