library_id,plate
AF9816,P2463
AF9817,P2463
AF9818,P2463
AF9819,P2463
AF9820,P2463
AF9821,P2463
AF9822,P2463
AF9823,P2463
AF9824,P2463
AF9825,P2463
AF9826,P2463
AF9827,P2463
AF9828,P2463
AF9829,P2463
AF9830,P2463
AF9831,P2463
AF9832,P2463
AF9833,P2463
AF9834,P2463
AF9835,P2463
AF9836,P2463
AF9837,P2463
AF9838,P2463
AF9839,P2463
AF9840,P2463
AF9841,P2463
AF9842,P2463
AF9843,P2463
AF9844,P2463
AF9845,P2463
AF9846,P2464
AF9847,P2464
AF9848,P2464
AF9849,P2464
AF9850,P2464
AF9851,P2464
AF9852,P2464
AF9853,P2464
AF9854,P2464
AF9855,P2464
AF9856,P2464
AF9857,P2464
AF9858,P2464
AF9859,P2464
AF9860,P2464
AF9861,P2464
AF9862,P2464
AF9863,P2464
AF9864,P2464
AF9865,P2464
AF9866,P2464
AF9867,P2464
AF9868,P2464
AF9869,P2464
AF9870,P2464
AF9871,P2464
AF9872,P2464
AF9873,P2464
AF9874,P2464
AF9875,P2464
AF9876,P2464
AF9877,P2464
AF9878,P2464
AF9879,P2464
AF9880,P2464
AF9881,P2464
AF9882,P2464
AF9883,P2464
AF9884,P2464
AF9885,P2464
AF9886,P2464
AF9887,P2464
AF9888,P2464
AF9889,P2464
AF9890,P2464
AF9891,P2464
AF9892,P2464
AF9893,P2464
AF9894,P2464
AF9895,P2464
AF9896,P2464
AF9897,P2464
AF9898,P2464
AF9899,P2464
AF9900,P2464
AF9901,P2464
AF9902,P2464
AF9903,P2464
AF9904,P2464
AF9905,P2464
AF9906,P2464
AF9907,P2464
AF9908,P2464
AF9909,P2464
AF9910,P2464
AF9911,P2464
AF9912,P2464
AF9913,P2464
AF9914,P2464
AF9915,P2464
AF9916,P2464
AF9917,P2464
AF9918,P2464
AF9919,P2464
AF9920,P2464
AF9921,P2464
AF9922,P2464
AF9923,P2464
AF9924,P2464
AF9925,P2464
AF9926,P2464
AF9927,P2464
AF9928,P2464
AF9929,P2464
AF9930,P2464
AF9931,P2464
AF9932,P2464
AF9933,P2464
AF9934,P2464
AF9935,P2464
AF9936,P2464
AF9937,P2464
AF9938,P2464
AF9939,P2464
AF9940,P2464
AF9941,P2464
AF9942,P2465
AF9943,P2465
AF9944,P2465
AF9945,P2465
AF9946,P2465
AF9947,P2465
AF9948,P2465
AF9949,P2465
AF9950,P2465
AF9951,P2465
AF9952,P2465
AF9953,P2465
AF9954,P2465
AF9955,P2465
AF9956,P2465
AF9957,P2465
AF9958,P2465
AF9959,P2465
AF9960,P2465
AF9961,P2465
AF9962,P2465
AF9963,P2465
AF9964,P2465
AF9965,P2465
AF9966,P2465
AF9967,P2465
AF9968,P2465
AF9969,P2465
AF9970,P2465
AF9971,P2465
AF9972,P2465
AF9973,P2465
AF9974,P2465
AF9975,P2465
AF9976,P2465
AF9977,P2465
AF9978,P2465
AF9979,P2465
AF9980,P2465
AF9981,P2465
AF9982,P2465
AF9983,P2465
AF9984,P2465
AF9985,P2465
AF9986,P2465
AF9987,P2465
AF9988,P2465
AF9989,P2465
AF9990,P2465
AF9991,P2465
AF9992,P2465
AF9993,P2465
AF9994,P2465
AF9995,P2465
AF9996,P2465
AF9997,P2465
AF9998,P2465
AF9999,P2465
AG0000,P2465
AG0001,P2465
AG0002,P2465
AG0003,P2465
AG0004,P2465
AG0005,P2465
AG0006,P2465
AG0007,P2465
AG0008,P2465
AG0009,P2465
AG0010,P2465
AG0011,P2465
AG0012,P2465
AG0013,P2465
AG0014,P2465
AG0015,P2465
AG0016,P2465
AG0017,P2465
AG0018,P2465
AG0019,P2465
AG0020,P2465
AG0021,P2465
AG0022,P2465
AG0023,P2465
AG0024,P2465
AG0025,P2465
AG0026,P2465
AG0027,P2465
AG0028,P2465
AG0029,P2465
AG0030,P2465
AG0031,P2465
AG0032,P2465
AG0033,P2465
AG0034,P2465
AG0035,P2465
AG0036,P2465
AG0037,P2465
AG0038,P2466
AG0039,P2466
AG0040,P2466
AG0041,P2466
AG0042,P2466
AG0043,P2466
AG0044,P2466
AG0045,P2466
AG0046,P2466
AG0047,P2466
AG0048,P2466
AG0049,P2466
AG0050,P2466
AG0051,P2466
AG0052,P2466
AG0053,P2466
AG0054,P2466
AG0055,P2466
AG0056,P2466
AG0057,P2466
AG0058,P2466
AG0059,P2466
AG0060,P2466
AG0061,P2466
AG0062,P2466
AG0063,P2466
AG0064,P2466
AG0065,P2466
AG0066,P2466
AG0067,P2466
AG0068,P2466
AG0069,P2466
AG0070,P2466
AG0071,P2466
AG0072,P2466
AG0073,P2466
AG0074,P2466
AG0075,P2466
AG0076,P2466
AG0077,P2466
AG0078,P2466
AG0079,P2466
AG0080,P2466
