subproject,library_id,index,donor_id,fastq_path_r1,fastq_path_r2,symbolic_link_r1,symbolic_link_r2,zUMI_barcode,plate,original_barcode,well,sample_id
CLL_52,AF9796,N722-S521-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N722-S521-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N722-S521-NX-xt_2.fastq.gz,CLL_05-76_S383_L006_R1_001.fastq.gz,CLL_05-76_S383_L006_R2_001.fastq.gz,IFFSDPBZ,P2463,P2463_N722-S521,CLL_05_76_G06,05/76
CLL_52,AG0661,N729-S506-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S506-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N729-S506-NX-xt_2.fastq.gz,CLL_14-2116_S308_L001_R1_001.fastq.gz,CLL_14-2116_S308_L001_R2_001.fastq.gz,IGEZKMNP,P2469,P2469_N729-S506,CLL_14_2116_D12,14/2116
CLL_52,AG0561,N714-S511-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N714-S511-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N714-S511-NX-xt_2.fastq.gz,CLL_14-2116_S169_L001_R1_001.fastq.gz,CLL_14-2116_S169_L001_R2_001.fastq.gz,IGNZJSKU,P2468,P2468_N714-S511,CLL_14_2116_H11,14/2116
CLL_52,AF9594,N721-S507-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N721-S507-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N721-S507-NX-xt_2.fastq.gz,CLL_05-76_S338_L006_R1_001.fastq.gz,CLL_05-76_S338_L006_R2_001.fastq.gz,IHGQVJTJ,P2461,P2461_N721-S507,CLL_05_76_E05,05/76
CLL_52,AG0047,N702-S515-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N702-S515-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N702-S515-NX-xt_2.fastq.gz,CLL_05-599_S333_L007_R1_001.fastq.gz,CLL_05-599_S333_L007_R2_001.fastq.gz,IHTQZGEY,P2466,P2466_N702-S515,CLL_05_599_B02,05/599
CLL_52,AG0807,N722-S520-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N722-S520-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N722-S520-NX-xt_2.fastq.gz,CLL_05-76_S25_L001_R1_001.fastq.gz,CLL_05-76_S25_L001_R2_001.fastq.gz,IIIPDHYT,P2471,P2471_N722-S520,CLL_05_76_F06,05/76
CLL_52,AF9843,N729-S520-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N729-S520-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N729-S520-NX-xt_2.fastq.gz,CLL_14-2116_S251_L006_R1_001.fastq.gz,CLL_14-2116_S251_L006_R2_001.fastq.gz,IIMZKHDX,P2463,P2463_N729-S520,CLL_14_2116_F12,14/2116
CLL_52,AG0033,N729-S506-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N729-S506-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N729-S506-NX-xt_2.fastq.gz,CLL_14-2116_S66_L007_R1_001.fastq.gz,CLL_14-2116_S66_L007_R2_001.fastq.gz,IISRKBZR,P2465,P2465_N729-S506,CLL_14_2116_D12,14/2116
CLL_52,AG0118,N714-S513-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N714-S513-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N714-S513-NX-xt_2.fastq.gz,CLL_14-2116_S96_L007_R1_001.fastq.gz,CLL_14-2116_S96_L007_R2_001.fastq.gz,IJIZCOSR,P2466,P2466_N714-S513,CLL_14_2116_A11,14/2116
CLL_52,AF9956,N718-S510-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N718-S510-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N718-S510-NX-xt_2.fastq.gz,CLL_05-599_S62_L007_R1_001.fastq.gz,CLL_05-599_S62_L007_R2_001.fastq.gz,IJZQQJCT,P2465,P2465_N718-S510,CLL_05_599_G02,05/599
CLL_52,AG0096,N710-S516-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N710-S516-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N710-S516-NX-xt_2.fastq.gz,CLL_10-7434_S208_L007_R1_001.fastq.gz,CLL_10-7434_S208_L007_R2_001.fastq.gz,IMWBJZQZ,P2466,P2466_N710-S516,CLL_10_7434_C08,10/7434
CLL_52,AF9891,N706-S508-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N706-S508-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N706-S508-NX-xt_2.fastq.gz,CLL_05-76_S273_L007_R1_001.fastq.gz,CLL_05-76_S273_L007_R2_001.fastq.gz,INSVMIGC,P2464,P2464_N706-S508,CLL_05_76_F06,05/76
CLL_52,AG0812,N723-S516-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N723-S516-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N723-S516-NX-xt_2.fastq.gz,CLL_10-7434_S202_L001_R1_001.fastq.gz,CLL_10-7434_S202_L001_R2_001.fastq.gz,IOLZVCHW,P2471,P2471_N723-S516,CLL_10_7434_C07,10/7434
CLL_52,AF9590,N721-S502-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N721-S502-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N721-S502-NX-xt_2.fastq.gz,CLL_05-76_S11_L006_R1_001.fastq.gz,CLL_05-76_S11_L006_R2_001.fastq.gz,IOSOPURK,P2461,P2461_N721-S502,CLL_05_76_A05,05/76
CLL_52,AF9739,N714-S520-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N714-S520-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N714-S520-NX-xt_2.fastq.gz,CLL_14-2116_S1_L006_R1_001.fastq.gz,CLL_14-2116_S1_L006_R2_001.fastq.gz,IPAOIZVY,P2462,P2462_N714-S520,CLL_14_2116_F11,14/2116
CLL_52,AF9830,N728-S513-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N728-S513-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N728-S513-NX-xt_2.fastq.gz,CLL_14-2116_S34_L006_R1_001.fastq.gz,CLL_14-2116_S34_L006_R2_001.fastq.gz,IPBSEZLQ,P2463,P2463_N728-S513,CLL_14_2116_A11,14/2116
CLL_52,AG0765,N716-S517-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N716-S517-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N716-S517-NX-xt_2.fastq.gz,CLL_05-599_S114_L001_R1_001.fastq.gz,CLL_05-599_S114_L001_R2_001.fastq.gz,IPIPVTDB,P2471,P2471_N716-S517,CLL_05_599_D01,05/599
CLL_52,AF9529,N711-S506-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N711-S506-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N711-S506-NX-xt_2.fastq.gz,CLL_10-7434_S260_L006_R1_001.fastq.gz,CLL_10-7434_S260_L006_R2_001.fastq.gz,IPMMVNFZ,P2460,P2460_N711-S506,CLL_10_7434_D09,10/7434
CLL_52,AF9909,N710-S511-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N710-S511-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N710-S511-NX-xt_2.fastq.gz,CLL_10-7434_S292_L007_R1_001.fastq.gz,CLL_10-7434_S292_L007_R2_001.fastq.gz,IRNCMVHH,P2464,P2464_N710-S511,CLL_10_7434_H08,10/7434
CLL_52,AF9603,N722-S508-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N722-S508-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N722-S508-NX-xt_2.fastq.gz,CLL_05-76_S131_L006_R1_001.fastq.gz,CLL_05-76_S131_L006_R2_001.fastq.gz,IRTRWRAQ,P2461,P2461_N722-S508,CLL_05_76_F06,05/76
CLL_52,AF9883,N705-S508-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N705-S508-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N705-S508-NX-xt_2.fastq.gz,CLL_05-76_S116_L007_R1_001.fastq.gz,CLL_05-76_S116_L007_R2_001.fastq.gz,ISHYFHEW,P2464,P2464_N705-S508,CLL_05_76_F05,05/76
CLL_52,AG0680,N702-S521-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N702-S521-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N702-S521-NX-xt_2.fastq.gz,CLL_05-599_S217_L001_R1_001.fastq.gz,CLL_05-599_S217_L001_R2_001.fastq.gz,ISMJTHKU,P2470,P2470_N702-S521,CLL_05_599_G02,05/599
