time_point total_n_cells_time_point n_rt_cells pct_rt_cells
T1 245 2 0.8163265306122449
T2 65 4 6.153846153846154
T4 1626 12 0.7380073800738007
T5 2529 13 0.5140371688414392
T6 1320 877 66.43939393939394
