case;ID;Description;NES;qvalues
12;GO:0006119;oxidative phosphorylation;2.477519809554411;3.888888888888889e-8
12;GO:0032543;mitochondrial translation;2.44704741503011;3.888888888888889e-8
12;GO:0050853;B cell receptor signaling pathway;-2.135699309646195;6.969130425449239e-5
63;GO:0006119;oxidative phosphorylation;1.9062229008121347;9.557958365081492e-4
63;GO:0032543;mitochondrial translation;1.6836133646104667;0.015365568260507395
365;GO:0032543;mitochondrial translation;2.227098316693269;2.336842105263158e-8
365;GO:0006119;oxidative phosphorylation;1.8012039773722384;9.673104769877243e-4
